Локальный идентификатор;Наименование;Автор;Год издания;Вид документа;Отрасль знания;Возрастная категория;ISBN
250;Как меняется библиотека, когда меняется мир;;2004;Книга;Деловая литература;Универсальный;-
251;Библиотека как информационный центр для населения: проблемы и их решения;Михнова Ирина Борисовна;2000;Книга;Деловая литература;Универсальный;5-85129-117-6
252;Российское библиотековедение: XX век. Направления развития, проблемы и итоги. Опыт монографического исследования;;2003;Книга;Деловая литература;Универсальный;5-7510-0264-4
253;Ф. И. Тютчев: Библиографический указатель произведений и литературы о жизни и деятельности. 1818 - 1973.;;1978;Книга;Справочники;Универсальный;-
254;В мире управляющих машин;Абчук В.А.;1987;Книга;Наука.Техника;Взрослый;-
255;ЭВМ видит мир;Александров В.В.;1990;Книга;Компьютеры. Интернет;Взрослый;5- № 217-00611-0
256;К школе XXI века;Бестужев-Лада И.В.;1988;Книга;Книги для родителей;Взрослый;-
257;Эстетическое воспитание школьников;Борисова Е.С;1972;Книга;Дом. Семья;Взрослый;-
258;Школьникам о телевидении;Ефимов Э.М.;1986;Книга;Наука.Техника;Взрослый;-
259;Пища будущего;Несмеянов А.Н.;1985;Книга;Познавательная литература;Взрослый;-
260;Близкие дороги океана;Почивалов Л.В.;1981;Книга;Познавательная литература;Взрослый;-
261;Линия жизни;Пошатаев В.В.;1980;Книга;Образование;Взрослый;-
262;Памятные книжные даты;;1989;Книга;Искусство. Культура;Взрослый;-
263;Техника вокруг нас;;1982;Книга;Наука.Техника;Взрослый;-
264;Здравствуй, школа!;;1991;Книга;Детские;Детский;5-09-00 21-49-Х
265;Воспитание старшеклассниц;Тимощенко Л.Н.;1990;Книга;Дом. Семья;Взрослый;5-09-000789-6
266;Мода, вкус, красота;Аршавская Нелли Моисеевна;1991;Книга;досуг. Творчество;Взрослый;5-255-00 401-4
267;ЗаДачи письменного экзамена по математике;;1994;Книга;Учебная литература;Юношеский;5-88527-052-Х
268;Страны мира : краткий полит.-эконом. справочник;;1996;Книга;Общественные и гуманитарные науки;Взрослый;3-932173-55-4
269;Страны мира : краткий полит.-эконом. справочник;;1996;Книга;Общественные и гуманитарные науки;Взрослый;3-932173-55-4
270;В помощь радиолюбителю. Вып. 113;;1992;Книга;Наука.Техника;Юношеский;-
271;Весь мир : энцикл. Справочник;;1996;Книга;Справочники;Юношеский;985-437-085-2
272;Семейный кодекс РФ;;1996;Книга;Право. Юридические науки;Взрослый;5-89123-0-1
273;В мире науки. - № 7;;2012;Периодическое издание;Наука;Взрослый;0208-0621
274;Наш современник. - № 5;;2012;Периодическое издание;Художественная литература;Взрослый;0027-8238
275;Химия и жизнь. - № 6;;2012;Периодическое издание;Естественные науки;Взрослый;1727-5903
276;Химия и жизнь. - № 12;;2012;Периодическое издание;Естественные науки;Взрослый;1727-5903
277;Story № 01(55);;2013;Периодическое издание;Универсальная;Универсальный;-
278;Story № 02(56);;2013;Периодическое издание;Универсальная;Универсальный;-
279;Story № 06(60);;2013;Периодическое издание;Универсальная;Универсальный;-
280;Story № 08(62);;2013;Периодическое издание;Универсальная;Универсальный;-
281;Story № 11(65);;2013;Периодическое издание;Универсальная;Универсальный;-
282;Атмосфера №02(130);;2013;Периодическое издание;Универсальная;Универсальный;-
283;Атмосфера №05(133);;2013;Периодическое издание;Универсальная;Универсальный;-
284;Атмосфера №06(134);;2013;Периодическое издание;Универсальная;Универсальный;-
285;Атмосфера №07-08(135-136);;2013;Периодическое издание;Универсальная;Универсальный;-
286;Атмосфера №09(137);;2013;Периодическое издание;Универсальная;Универсальный;-
287;Атмосфера №10(138);;2013;Периодическое издание;Универсальная;Универсальный;-
288;Атмосфера №12-01(128-129);;2012;Периодическое издание;Универсальная;Универсальный;-
289;Афиша №1(337);;2013;Периодическое издание;Универсальная;Универсальный;-
290;Афиша №10(346);;2013;Периодическое издание;Универсальная;Универсальный;-
291;Афиша №11(347);;2013;Периодическое издание;Универсальная;Универсальный;-
292;Афиша №12(348);;2013;Периодическое издание;Универсальная;Универсальный;-
293;Афиша №13(349);;2013;Периодическое издание;Универсальная;Универсальный;-
294;Афиша №14(350);;2013;Периодическое издание;Универсальная;Универсальный;-
295;Афиша №15(351);;2013;Периодическое издание;Универсальная;Универсальный;-
296;Афиша №16(352);;2013;Периодическое издание;Универсальная;Универсальный;-
297;Афиша №2(338);;2013;Периодическое издание;Универсальная;Универсальный;-
298;Афиша №3(339);;2013;Периодическое издание;Универсальная;Универсальный;-
299;Афиша №4(340);;2013;Периодическое издание;Универсальная;Универсальный;-
300;Афиша №5(341);;2013;Периодическое издание;Универсальная;Универсальный;-
301;Афиша №6(342);;2013;Периодическое издание;Универсальная;Универсальный;-
302;Афиша №7(343);;2013;Периодическое издание;Универсальная;Универсальный;-
303;Афиша №8(344);;2013;Периодическое издание;Универсальная;Универсальный;-
304;Афиша №9(345);;2013;Периодическое издание;Универсальная;Универсальный;-
305;Библиография №1;;2013;Периодическое издание;Библиография. Библиотечное дело;Универсальный;-
306;Библиография №2;;2013;Периодическое издание;Библиография. Библиотечное дело;Универсальный;-
307;Библиография №3;;2013;Периодическое издание;Библиография. Библиотечное дело;Универсальный;-
308;Библиотека №1;;2013;Периодическое издание;Библиография. Библиотечное дело;Универсальный;-
